id,tariffrate_id,machine_specific_detail_id,first_audit_price,first_audit_price_without_startup,next_audit_price,next_audit_integrity_overcharge
1203,27,17,316.88,0.00,221.92,0.00
1206,27,18,342.69,0.00,254.95,0.00
1209,27,19,230.17,0.00,180.63,0.00
1212,27,20,257.01,0.00,213.66,0.00
1215,27,21,282.82,0.00,246.69,0.00
1218,27,22,138.31,0.00,146.58,0.00
1221,27,23,212.62,0.00,123.86,0.00
1224,27,24,265.27,0.00,156.90,0.00
1227,27,25,291.08,0.00,189.92,0.00
1230,27,26,291.08,0.00,189.92,0.00
1233,27,27,316.88,0.00,221.92,0.00
1236,27,28,342.69,0.00,254.95,0.00
1239,27,29,342.69,0.00,254.95,0.00
1242,27,30,395.33,0.00,319.98,0.00
1245,27,31,369.52,0.00,286.95,0.00
1248,27,32,369.52,0.00,286.95,0.00
1251,27,33,265.22,0.00,156.90,0.00
1254,27,34,421.13,0.00,353.00,0.00
1257,27,35,316.88,0.00,221.92,0.00
1260,27,36,369.52,0.00,286.95,0.00
1263,27,37,316.88,0.00,221.92,0.00
1266,27,38,369.52,0.00,286.95,0.00
1269,27,39,421.13,0.00,353.00,0.00
1272,27,40,421.13,0.00,353.00,0.00
1275,27,41,212.62,227.08,123.86,123.86
1278,27,42,212.62,227.08,123.86,156.90
1281,27,43,238.44,247.73,156.90,189.92
1284,27,44,253.91,291.08,156.90,221.92
1287,27,45,303.46,394.29,156.90,254.95
1290,27,46,330.30,460.35,156.90,286.95
1293,27,47,395.33,748.34,189.92,319.98
1296,27,48,407.72,1134.37,189.92,353.00
1299,27,49,421.13,1671.11,189.92,385.00
1302,27,50,446.94,2380.21,221.92,418.04
1305,27,51,512.99,2799.28,221.92,483.06
1308,27,52,578.02,3267.89,221.92,548.09
1311,27,53,238.44,249.79,173.40,254.95
1314,27,54,291.08,291.08,189.92,286.95
1317,27,55,301.40,334.43,205.40,319.98
1320,27,56,322.05,334.43,221.92,286.95
1323,27,57,332.37,394.29,221.92,286.95
1326,27,58,342.69,464.49,254.95,336.49
1329,27,59,353.00,571.83,254.95,336.49
1332,27,60,363.33,699.82,254.95,336.49
1335,27,61,374.69,873.23,286.95,385.00
1338,27,62,385.00,1095.15,286.95,385.00
1341,27,63,395.33,1372.81,286.95,385.00
1344,27,64,410.81,1721.68,286.95,385.00
1347,27,65,421.13,2142.81,319.98,434.55
1350,27,66,436.61,2663.03,319.98,434.55
1353,27,67,463.45,3277.19,319.98,434.55
1356,27,68,489.26,4010.04,319.98,434.55
1359,27,69,525.38,4873.97,353.00,483.06
1362,27,70,578.02,5893.77,353.00,483.06
1365,27,71,630.66,5893.77,353.00,483.06
1368,27,72,82.58,82.58,56.77,77.41
1371,27,73,451.06,0.00,321.01,0.00
1374,27,74,369.52,369.52,286.95,286.95
1378,30,1,342.69,0.00,254.95,0.00
1380,30,2,342.69,0.00,254.95,0.00
1382,30,3,265.27,0.00,156.90,0.00
1384,30,4,316.88,0.00,221.92,0.00
1386,30,5,342.69,0.00,254.95,0.00
1388,30,6,316.88,0.00,221.92,0.00
1390,30,7,342.69,0.00,254.95,0.00
1392,30,8,316.88,0.00,221.92,0.00
1394,30,9,264.23,0.00,156.90,0.00
1396,30,10,338.55,0.00,214.69,0.00
1398,30,11,377.77,0.00,263.21,0.00
1400,30,12,291.08,0.00,189.92,0.00
1402,30,13,377.77,0.00,263.21,0.00
1404,30,14,403.59,0.00,296.23,0.00
1406,30,15,490.29,0.00,369.52,0.00
1408,30,16,291.08,0.00,189.92,0.00
1410,30,17,316.88,0.00,221.92,0.00
1412,30,18,342.69,0.00,254.95,0.00
1414,30,19,230.17,0.00,180.63,0.00
1416,30,20,257.01,0.00,213.66,0.00
1418,30,21,282.82,0.00,246.69,0.00
1420,30,22,138.31,0.00,146.58,0.00
1422,30,23,212.62,0.00,123.86,0.00
1424,30,24,265.27,0.00,156.90,0.00
1426,30,25,291.08,0.00,189.92,0.00
1428,30,26,291.08,0.00,189.92,0.00
1430,30,27,316.88,0.00,221.92,0.00
1432,30,28,342.69,0.00,254.95,0.00
1434,30,29,342.69,0.00,254.95,0.00
1436,30,30,395.33,0.00,319.98,0.00
1438,30,31,369.52,0.00,286.95,0.00
1440,30,32,369.52,0.00,286.95,0.00
1442,30,33,265.22,0.00,156.90,0.00
1444,30,34,421.13,0.00,353.00,0.00
1446,30,35,316.88,0.00,221.92,0.00
1448,30,36,369.52,0.00,286.95,0.00
1450,30,37,316.88,0.00,221.92,0.00
1452,30,38,369.52,0.00,286.95,0.00
1454,30,39,421.13,0.00,353.00,0.00
1456,30,40,421.13,0.00,353.00,0.00
1458,30,41,212.62,227.08,123.86,123.86
1460,30,42,212.62,227.08,123.86,156.90
1462,30,43,238.44,247.73,156.90,189.92
1464,30,44,253.91,291.08,156.90,221.92
1466,30,45,303.46,394.29,156.90,254.95
1468,30,46,330.30,460.35,156.90,286.95
1470,30,47,395.33,748.34,189.92,319.98
1472,30,48,407.72,1134.37,189.92,353.00
1474,30,49,421.13,1671.11,189.92,385.00
1476,30,50,446.94,2380.21,221.92,418.04
1478,30,51,512.99,2799.28,221.92,483.06
1480,30,52,578.02,3267.89,221.92,548.09
