id,customer_id,machine_group_id,machine_type_id,machine_type_detail_id,machine_tariffplan_id,vendor,model,registration_number,registration_year,construction_year,start_service_year,factory_number,ce,notified_organism_id,carried_weight,max_liters,ps_bar,fluid,producibility,region,province,city,zipcode,address,first_audit_at,last_audit_at,next_audit_at,usage,customer_machine_code,attachment_id,note,state,next_audit_type_code,reg_numb_year,reg_numb_activity_code,reg_numb_code,reg_numb_province,subject_to_startups,panieri_riserva,on_number,is_ped_group,group_factory_number,group_reg_number,ped_category,fluid_type,is_ui_group,ped_reg_numb_year,ped_reg_numb_activity_code,ped_reg_numb_code,ped_reg_numb_province,gvr_category,temp_min,temp_max,fluid_state,address_n,,,,,,,,,,,,,,,,,,,,,,
20,52,NULL,3,11,44,A.Merloni Spa,10,,1988,1988,1988,174042,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,2014-01-28,2024-01-27,steel,3952,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1988,0,11042,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
21,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,NULL,2014-01-28,steel,3953,NULL,,0,SUCC,1989,0,20067,MC,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
22,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,NULL,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata dal solo libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
23,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,NULL,2014-01-29,steel,3953,NULL,,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
24,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata solamente dal libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
25,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,1989,D4760,SI,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2024-01-29,steel,3953,NULL,,1,INT_DEC,1989,0,4760,FG,1,0,100,0,,,,1,0,1989,0,4760,FG,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
26,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,1997-03-07,2024-01-27,steel,3954,NULL,,1,FUN_BIEN,1989,0,20067,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
27,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,236795,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3955,NULL,,1,FUN_BIEN,1989,0,33795,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
28,52,NULL,3,11,44,A.Merloni Spa,11500,,1990,1990,1997,272449,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-07-08,1997-07-08,2024-01-28,steel,3956,NULL,,1,FUN_BIEN,1990,0,27449,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
29,52,NULL,3,11,44,A.Merloni Spa,11500,,1991,1991,1997,314079,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3957,NULL,,1,FUN_BIEN,1991,0,27079,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
